slug,action,gallery_before,gallery_after,comment
peterburg-belye-nochi-4-dnya,gallery_trimmed,8,5,"4 фото по СПБ (5,6,12,13), а остальные ДРУГИЕ ГОРОДА!!! |  | "
krym-bolshoe-puteshestvie,gallery_trimmed,10,8,"Название тура у Амры: Волшебный Западный Берег Крыма, 3-х дневный | фото 3 и 4 не подходят | "
krym-novyj-svet-mriya-2-dnya,gallery_trimmed,9,8,фото 5 не подходит |  | от 12800
kubanskaya-loza-lefkadiya-myshako-abrau,gallery_trimmed,7,6,у Амры 404 | последнее фото не подходит | 
peterburg-letnij-6-dnej,on_request_all_bad,8,8,"У БС тур на 7 дней | начиная с 4й фото, все фото не подходят | "
lefkadiya-staryj-park-shato-pino,gallery_trimmed,6,5,6 фото не подходит |  | 1600
gruziya-i-armeniya-7-dnej,gallery_trimmed,11,10,5 фото не подходит |  | 
maloe-zolotoe-kolco-4-dnya,gallery_trimmed,11,10,10 и 11 фото не подходит |  | 
velosea-golubaya-buhta-gelendzhik,gallery_trimmed,7,6,последнее фото не подходит |  | 
morskoj-voyazh-golubaya-bezdna-parus-gelendzhik,gallery_trimmed,9,8,3 и последняя фото не подходят |  | 
moskva-den-za-dnyom-5-dnej,on_request_all_bad,8,8,ВСЕ ФОТО НЕ ПОДХОДЯТ |  | 
moskva-na-vyhodnye,on_request_all_bad,8,8,ВСЕ ФОТО НЕ ПОДХОДЯТ |  | 
moskva-stolichnye-vyhodnye,on_request_all_bad,8,8,"все фото , кроме 4, не подходят |  | "
moskovskaya-istoriya-7-dnej,on_request_all_bad,8,8,ВСЕ ФОТО НЕ ПОДХОДЯТ |  | 
moskva-kalejdoskop-5-dnej,on_request_all_bad,8,8,ВСЕ ФОТО НЕ ПОДХОДЯТ |  | 
parad-tyulpanov-novyj-hersones-1-den,gallery_trimmed,8,7,у Амры 404 | 5е фото и  последнее не подходят | 
park-krasnodar-oblakov-ekskursiya,gallery_trimmed,6,5,"1,2,3 и 4 фото не подходят |  | "
pasha-v-atamani-1-den,on_request_all_bad,7,7,"Едем в Атамань | все фото, кроме 2 и 3 не подходят | "
peterburg-i-valaam-5-dnej,on_request_all_bad,8,8,ВСЕ ФОТО НЕ ПОДХОДЯТ |  | 
peterburg-i-vyborg-5-dnej,gallery_trimmed,8,7,"фото 4,9 и 10 не подходят |  | "
peterburg-na-vyhodnye,gallery_trimmed,8,4,"фото 4,5,6,8,9,11 и 12 не подходят |  | "
peterburg-vyborg-kareliya-6-dnej,gallery_trimmed,8,3,"фото 2,3,6,7,8,9,10,11 и 12 не подходят |  | "
peterburg-razvodye-mostov-5-dnej,on_request_all_bad,8,8,"У БС тур на 3 дня | все фото, кроме 6, не подходят | "
peterburg-ot-petra-do-neboskreba,on_request_all_bad,8,8,"все фото ,кроме 1, 6 и последней не подходят |  | "
lago-naki-1-den,gallery_trimmed,6,5,последнее фото не подходит |  | от 3300
moskva-pokazhite-nam-4-dnya,on_request_all_bad,8,8,ВСЕ ФОТО НЕ ПОДХОДЯТ |  | 
golubickoe-anapa-supsex,gallery_trimmed,7,6,не верная ссылка по Амре | фото 7 и 8 не подходят | 
peterburg-portret-velikogo-goroda,on_request_all_bad,8,8,"Все фото не подходят, кроме фото 6 и 7 |  | "
pyatigorsk-kislovodsk-1-den,gallery_trimmed,6,5,"3,4,5 фото не подходят, У Кандагара нет экс.по КМВ |  | "
relaks-shato-de-talyu-gelendzhik,gallery_trimmed,4,2,"фото 3,4, и7 не подходят |  | "
peterburg-roditeli-s-detmi-7-dnej,on_request_all_bad,8,8,"у БС 6 дней, все фото, кроме 1й не подходят |  | "
spb-kareliya-9-dnej,gallery_trimmed,9,6,"фото 1,2,3 не подходят |  | "
peterburg-shedevry-severnoj-stolicy,on_request_all_bad,8,8,"все фото, кроме 1й не подходят |  | "
severnaya-osetiya-weekend,gallery_trimmed,9,8,"у амры 404, фото 5,10 не совпадают |  | "
peterburg-semejnye-kanikuly,gallery_trimmed,8,5,"фото 1,2,3,11,12 не подходят |  | "
solnechnaya-gruziya-bolshoj-tur-9-dnej,gallery_trimmed,10,8,"фото 5,10 не совпадают |  | "
stambul-lajt-5-dnej,gallery_trimmed,8,6,"разные названия тура, фото 5,8,9,10 не совпадают |  | "
stambul-5-dnej-s-gidom,gallery_trimmed,7,4,"разные названия туров, не совпадают цены, фото 3,4,5,9,10 не совпадают |  | "
tatarstan-na-100-procentov,gallery_trimmed,8,3,"разные названия туров, не совпадают количество дней, фото 2,3,4,5,8,10,11 |  | "
termy-adygei-1-den,gallery_trimmed,5,3,"фото 4,5,6,8 не подходят, у амры 404 |  | "
teshebskie-vodopady-muzej-hleba-i-vina,gallery_trimmed,7,6,разные туры + фото 7 не подходит  |  | 
shato-de-talyu-gelendzhik-staryj-park,gallery_trimmed,5,4,"фото 4,7 не подходят, и названия не сходятся |  | "
elista-kalmykiya-1-den,gallery_trimmed,2,1,"у амры 404, + фото 2,4,5,6,7 не подходят  |  | "
elbrus-i-chegem,gallery_trimmed,8,6,"не совпадают названия, фото 1,2,39  не подходят |  | "
moskva-ya-shagayu-6-dnej,on_request_all_bad,8,8,все фотки не те  |  | 
