собраны фото да нет,Kod,Nash tur,Slug,Dnej,Operator,Ssylka operatora,Foto 1,Foto 2,Foto 3,Foto 4,Foto 5,Foto 6,Foto 7,Foto 8,Foto 9,Foto 10,Foto 11,Foto 12,Foto 13,Foto 14,Foto 15,Foto 16,Foto 17,Foto 18,Foto 19,Foto 20,Foto 21,Foto 22,Foto 23,Foto 24,Foto 25,Foto 26,Foto 27,Foto 28,Foto 29,Foto 30,Foto 31,Foto 32,Foto 33,Foto 34,Foto 35,Foto 36,Foto 37,Foto 38,Foto 39,Foto 40,Foto 41
да ,1011,Весенние водопады Руфабго и Мишоко с конными прогулками,vodopady-rufabgo-mishoko-konnye,1,Amra Turistik,https://amra-turistik.ru/tours/vodopady-rufabgo-i-mishoko-vodopady-i-konnye-progulki-4,Адыгея,Водопад «Сердце Руфабго»,Пещера «Сквозная»,Конная прогулка в ущелье Мишоко,Каскадный,Девичья коса,Весенние водопады Руфабго,Мишоко с конными прогулками,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1012,Весенний Узбекистан: 7 дней от Ташкента до Самарканда,vesennij-uzbekistan-7-dnej,7,Amra Turistik,https://amra-turistik.ru/tours/vesennij-uzbekistan-2,Узбекистан,Ичан-Кала в Хиве,Площадь Регистан в Самарканде,Скоростной поезд «Афросиаб»,Бухара,Базары Великого Шёлкового пути,Аладдине,Лаби-Хауз,Гур-Эмир,Комплекс Лаби,Хива,Чор-Минор,Чор-Су,Комплекс Хасты,Площадь Мустакиллик,Ичан-Кале,Куня-Арк,Ислам-Ходжи,Комплекс Пахлавана,Крепость Куня,Таш-Хаули,Мечеть Джума,Мечеть Хивы,Магоки-Аттор,Мечеть Магоки,Мечеть Калян,Шахи-Зинда,Мечеть Биби,Обсерватория Улугбека,Базар Самарканда,Прилёт в Ташкент,Вылет из Самарканда,,,,,,,,,
да ,1013,Весна в Лаго-Наки: Свято-Михайловский монастырь и термальные источники,lago-naki-monastyr-termy-1-den,1,Amra Turistik,https://amra-turistik.ru/tours/vesna-v-lago-naki-monastyr-termalnye-istochniki,Плато Лаго-Наки,Адыгея,Свято-Михайловский монастырь — Лаго-Наки,Термальные источники,Водная Ривьера,Скала Утюг,Азишская пещера,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1014,Винная классика: три центра винного туризма,vinnaya-klassika-tri-centra-vinnogo-turizma-1-den,1,Amra Turistik,https://amra-turistik.ru/tours/vinnaya-klassika-tri-czentra-vinnogo-turizma-6,Абрау-Дюрсо,Геленджик,Долина Лефкадия,Шато-Пино,Ликурия,Горы Колдун,Озеро Абрау,Озеро Краснодарского,Краснодар — Лефкадия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1015,"Винодельни Азовского моря: Поместье Голубицкое, Шато-Тамань и Тамань",vinodelni-azovskogo-morya-golubickoe-taman,1,Amra Turistik,https://amra-turistik.ru/tours/vinodelni-azovskogo-morya-pomeste-golubiczkoe-shato-taman-i-progulka-po-tamani-5,Краснодарский край,Абрау-Дюрсо,Поместье Голубицкое — Chateau Tamagne,Chateau Tamagne,Прогулка по Тамани,Тамань,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1016,"Винодельни Азовского моря: Фанагория, Шато-Тамань и Тамань",fanagoriya-shato-taman-taman,1,Amra Turistik,https://amra-turistik.ru/tours/vinodelni-azovskogo-morya-fanagoriya-shato-taman-i-progulka-po-tamani-2,Краснодарский край,Фанагория — Азовское море,Chateau Tamagne,Тамань,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1017,"Водопады Жане, Голубая бездна и вечер в Геленджике",vodopady-zhane-golubaya-bezdna-gelendzhik,1,Amra Turistik,https://amra-turistik.ru/tours/vodopady-i-dolmeny-r-zhane-golubaya-bezdna-i-romantichnyj-vecher-v-gelendzhike,Геленджик,"Водопады Жане, Голубая бездна",Водопады Жане — Голубая бездна,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1018,Водопады Лазаревского района,vodopady-lazarevskogo-rajona,1,Amra Turistik,https://amra-turistik.ru/tours/vodopady-lazarevskogo-rajona-9,Краснодарский край,Водопад Псыдах,Водопад Шапсуг,Долина Аше — Мамедово ущелье,Подвесные мосты,Голова Мамеда,Борода Мамеда,Мамедова купель,Целитель,Пещера Ведьм,Водопады Псыдах,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1019,Водопады р. Жане — Голубая бездна — скала Парус,vodopady-zhane-golubaya-bezdna-parus,1,Amra Turistik,https://amra-turistik.ru/tours/vodopady-i-dolmeny-r-zhane-golubaya-bezdna-skala-parus-13/,Геленджик,Водопады р. Жане — Голубая бездна,Водопады Жане — Голубая бездна,Скала Парус,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1020,"Вокруг Анапы и «Греция»: 800 ступеней, Кипарисовое озеро и Винное подворье Старого Грека",vokrug-anapy-800-stupenej-vinnyj-grek,1,Amra Turistik,https://amra-turistik.ru/tours/vokrug-anapy-i-grecziya-i-800-stupenej-lastochkiny-gnezda-kiparisovoe-ozero-vinnoe-podvore-starogo-greka-2,Краснодарский край,800 ступеней и «край Земли» в Супсехе,Кипарисовое озеро Сукко,Винное подворье Старого Грека,Панорама от Анапы до Новороссийска,Гора Лысая,Витязево,Вокруг Анапы,Супсех (800 ступеней) — Кипарисовое озеро,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1021,"Вокруг Анапы: 800 ступеней, Кипарисовое озеро и Абрау-Дюрсо",vokrug-anapy-800-stupenej-kiparisovoe-abrau,1,Amra Turistik,https://amra-turistik.ru/tours/vokrug-anapy-i-abrau-800-stupenej-lastochkiny-gnezda-kiparisovoe-ozero-vecher-v-abrau,Закат в Абрау-Дюрсо,Краснодарский край,800 ступеней и Ласточкины гнёзда,Супсех (800 ступеней) — Кипарисовое озеро,Скала Ласточкины,Супсех,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1022,Волгоград — город-герой,volgograd-gorod-geroj,2,Amra Turistik,https://amra-turistik.ru/tours/po-gorodam-povolzhya-volgograd-ulyanovsk-kazan-nizhnij-novgorodvladimir,Волгоград,Мамаев курган и Родина-мать,Панорама Сталинградской битвы,Набережная Волги,Родина-мать зовёт,Сталинградская битва,Старая Сарепта,Храм Всех,Донской канал,Стоять насмерть,Площадь Скорби,Площадь Павших,Город,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1023,Всесвятское кладбище: тайны старого Краснодара,vsesvyatskoe-kladbishhe-ekskursiya,1,Amra Turistik,https://amra-turistik.ru/tours/nazad-v-proshloe-kakie-tajny-hranit-vsesvyatskoe-kladbishhe-4,Старейшее кладбище Краснодара с 1830 года,Склепы XIX века,История города через судьбы людей,Экскурсия,Кочующие монументы,Всесвятское кладбище,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1024,"Геленджик: море, скалы и набережная",gelendzhik-more-i-skaly,1,Amra Turistik,https://amra-turistik.ru/tours/lyubimaya-klassika-ot-abrau-do-gelendzhika-3/,Набережная Геленджика,Скала Парус,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1025,"Горный Дагестан за 4 дня: каньоны, аулы-призраки и водопады",gornyj-dagestan-4-dnya,4,Amra Turistik,https://amra-turistik.ru/tours/gornyj-dagestan-za-4-dnya,Горный Дагестан,Гамсутль,Салтинский подземный водопад,Карадахская теснина — «Ворота чудес»,Водопад Тобот на Хунзахском плато,Сулакский каньон на катере,Каменная чаша,Нохъо,Плато Матлас,Хунзахское плато,База,Старый Гоор,Село Гуниб,Гунибская крепость,Салтинская теснина — Карадахская теснина,Село Хунзах,Матласский водопад,,,,,,,,,,,,,,,,,,,,,,,,
да ,1026,Горячий Ключ + вечерний Парк Галицкого,goryachij-klyuch-park-galitskogo,1,Amra Turistik,https://amra-turistik.ru/tours/goryachij-klyuch-i-kapibary-i-alpaki-na-ferme-10,Дантово ущелье,Горячий Ключ + Парк Галицкого,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1027,Горячий Ключ и капибары с альпаками на ферме,goryachij-klyuch-kapibary-i-alpaki-1-den,1,Amra Turistik,https://amra-turistik.ru/tours/goryachij-klyuch-i-kapibary-i-alpaki-na-ferme-10,Краснодар — Горячий Ключ,Дантово ущелье,Скала Петушок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1028,Грозный и Аргунское ущелье,groznyj-2-dnya,2,Amra Turistik,https://amra-turistik.ru/tours/priglashaem-vas-v-chechnyu-21,Чечня,Мечеть «Сердце Чечни»,Грозный-Сити,Ушкалойские башни,Чанты-Аргун,Храм Архангела,Комплекс Пхакоч,Аргунское ущелье,Нихалойские водопады,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1029,"Грузия за 4 дня: Тбилиси, Кахетия и Мцхета",gruziya-4-dnya,4,Amra Turistik,https://amra-turistik.ru/tours/solnechnyj-maya-v-gruzii,Грузия,Военно-Грузинская дорога — Тбилиси,Кахетия,Мцхета,Военно-Грузинская,Замок Ананури,Храм Метехи,Площадь Европы,Парк Рико,Крепость Нарикала,Мост Мира,Проспект Руставелли,Монастырь Бодбе,Святой Нино,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1030,"Грузия за 5 дней: Тбилиси, Кахетия и Мцхета",gruziya-5-dnej-tblisi-kahetiya,5,Amra Turistik,https://amra-turistik.ru/tours/edem-v-gruziyu-na-pyat-dnej-4,Грузия,Дорога. Военно-Грузинская дорога — Тбилиси,Крепость Нарикала и Тбилиси,Кахетия,Мцхета — «Второй Иерусалим»,Отель в Старом городе,Замок Ананури,Храм Метехи,Площадь Европы,Парк Рико,Мост Мира,Монастырь Бодбе,Монастырь Джвари,Монастырь Самтавро,Комплекс Шиомгвиме,Святой Нино,Верхний Ларс,Улица Руставелли,Село Бидаури,Тбилиси с гидом,,,,,,,,,,,,,,,,,,,,,
да ,1031,"Грузия за 5 дней: Тбилиси, каньон Дашбаши и Кахетия",gruziya-5-dnej-dashbashi,5,Amra Turistik,https://amra-turistik.ru/tours/edem-v-gruziyu-na-pyat-dnej-3,Грузия,Каньон Дашбаши,Тбилиси с лицензированным гидом,Кахетия,Военно-Грузинская дорога — Тбилиси,Замок Ананури,Мост Мира,Проспект Руставелли,Парк Мтацминда,Село Бидаури,Монастырь Джвари,Комплекс Шиомгвиме,Мцхета,Экскурсия,Монастырь Бодбе,Святой Нино,Тбилиси с гидом,,,,,,,,,,,,,,,,,,,,,,,,
да ,1032,Гуамское ущелье и Орлиная полка,guamskoe-ushchelye-1-den,1,Amra Turistik,https://amra-turistik.ru/tours/relaks-tur-guamskoe-ushhele-i-termalnye-istochniki-40/,Гуамка,Адыгея,Узкоколейная дорога,Орлиная полка,Гуамское ущелье,Горы Мезмая,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1033,Гуамское ущелье и термальные источники,guamka-termy-relaks,1,Amra Turistik,https://amra-turistik.ru/tours/relaks-tur-guamskoe-ushhele-i-termalnye-istochniki-40/,Гуамка,Адыгея,Гуамское ущелье,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1034,Гузерипль — Лаго-Наки — Термальные источники,guzeripl-lago-naki-termy,1,Amra Turistik,https://amra-turistik.ru/tours/guzeripl-lago-naki-termalnye-istochniki-40,Плато Лаго-Наки,Адыгея,Тропа Леопарда в заповеднике,Термальные источники в финале дня,Сибирь,Водная Ривьера,Кордон Кавказского,Гузерипль — Лаго-Наки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1035,Дагестан: Сулакский каньон и Дербент,dagestan-4-dnya,4,Amra Turistik,https://amra-turistik.ru/tours/gornyj-dagestan-za-4-dnya,Дагестан,Сулакский каньон,Катер по каньону,Древний Дербент,Нохъо,Белого солнца пустыни,Нарын-Кала,Каньон Европы,Крепость Нарын,Аул Гуниб,Салтинский водопад,Лунь,Цитадель Нарын,Мачу-Пикчу,Река Сулак,Набережная Каспийского,Бархан Сарыкум,Гамсутль,Махачкала,,,,,,,,,,,,,,,,,,,,,,
да ,1036,Два озера — Два моря: тюльпаны и Генеральские пляжи,dva-ozera-dva-morya-tyulpany-generalskie,1,Amra Turistik,https://amra-turistik.ru/tours/dva-ozera-dva-morya-tyulpany-i-velikolepnye-generalskie-plyazhi-odin-iz-samyh-krasivyh-vesennih-turov,Тюльпановый поход на мысе Опук,Кояшское розовое озеро,Гора Митридат,Генеральские пляжи,Мыс Опук — Керчь,Кояшское озеро,Крымский мост,Чокракское озеро,Керчь,Горы Опук,Два озера,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1037,"Двухдневная красавица Осетия: Цейское ущелье, Город мёртвых и Кармадон",krasavica-osetiya-2-dnya,2,Amra Turistik,https://amra-turistik.ru/tours/dvuhdnevnaya-krasavicza-osetiya-13,Северная Осетия,Памятник Уастырджи в скале,Цейский ледник,Кармадонское ущелье,Город мёртвых в Даргавсе,Каньон Кадаргаван,Ледник Колка,Мемориал Сергею,Цейское ущелье,Владикавказ — Алагирское ущелье,Кармадонские ворота,Куртатинское ущелье,Набережная Терека,Кармадон — Город мёртвых,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1038,"День в Крыму: Мрия, сакура и Ялта",krym-mriya-sakura-yalta-1-den,1,Amra Turistik,https://amra-turistik.ru/tours/den-schastya-v-krymu-mriya-czvetenie-sakury-i-yalta-2,Mriya Resort 5*,Фотограф в подарок,Вечер на набережной Ялты,Шесть чувств,Набережная Ялты,Винный парк,Крымский мост,Японский сад,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1039,День в походе по загадочной Шапсугской,pokhod-po-shapsugskoj-dolmeny-labirint,1,Amra Turistik,https://amra-turistik.ru/tours/den-v-pohode-po-udivitelnoj-i-zagadochnoj-shapsugskoj-6,Краснодарский край,Дольмены,Лабиринт желаний,Лагуна,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1040,Домбай: выходные в горах,dombay-weekend,2,Amra Turistik,https://amra-turistik.ru/tours/dombaj-vesnoj,Домбай-Ульген,Ущелье Аманауз,Вид на Кавказский хребет,Чёртовой мельнице,Чёртова мельница,Тебердинское ущелье,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1041,Знакомство с Беларусью: вся Белоруссия за 9 дней,znakomstvo-s-belarusyu-9-dnej,9,Amra Turistik,https://amra-turistik.ru/tours/znakomstvo-s-belarusyu-vsya-belorussiya-za-6-dnej-2,Беларусь,Мирский замок и Несвижский дворец — ЮНЕСКО,Беловежская пуща — Брестская крепость,Беловежская пуща,Гродно — 900 лет истории,Полоцк,Усадьба Репина в Здравнёво,Мужество,Жажда,Спасо-Евфросиниевский,Музей Шагала,Королевский замок,Софийский собор,Евфросиниевский монастырь,Витебск — Славянский базар,Карета,Войт,Площадь Независимости,Площадь Свободы,Проспект Независимости,Остров Слёз,Святополк-Мирских,Храм Речи,Дом Печатника,Проспект Скорины,Святой Софии,Славянского базара,Улица Суворова,Музей Витебского,Благовещенская церковь,Воскресенская церковь,Успенский собор,Дорога Краснодар — Минск,Дорога домой,,,,,,,
да ,1042,"Калининград: Куршская коса, Балтийск и янтарный берег",kaliningrad-zhd-avia-tur,9,Amra Turistik,https://amra-turistik.ru/tours/kaliningrad-zhd-tur-3,Кёнигсбергу-Калининграду,Куршская коса — ЮНЕСКО,Янтарный замок,Балтийск,Кафедральный собор,"Замок Шаакен, сыроварня",Борющиеся зубры,Голубой флаг,Шаакендорф,Свято-Георгиевский,Площадь Победы,Цитадель Пиллау,Памятник Петру,Георгиевский собор,Куршский залив,Янтарная лагуна,Парк Морица,Королевы Луизы,Спасо-Преображенский,Преображенский собор,Оружейная,Зеленоградск,Светлогорск,,,,,,,,,,,,,,,,,,
да ,1043,Красивейший видовой тур по смотровым Лаго-Наки,krasivejshie-smotrovye-lago-naki-1-den,1,Amra Turistik,https://amra-turistik.ru/tours/krasivejshij-vidovoj-tur-po-smotrovym-lago-naki-2,Лаго-Наки,Адыгея,Гранитный каньон Белой,Партизанская поляна,Яворова поляна,Белореченский водопад,Кавказский хребет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1044,Краснодар и Парк Галицкого,krasnodar-park-galitskogo,1,Amra Turistik,https://amra-turistik.ru/tours/progulka-s-ekskursovodom-po-parku-krasnodar-i-parku-oblakov-8,Парк Галицкого,Стадион «Краснодар»,Красная улица,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1045,Краснодар: история и секреты города,krasnodar-istoricheskij-centr-ekskursiya,1,Amra Turistik,https://amra-turistik.ru/tours/krasnodar-krasivyj-yuzhnyj-gorod-ekskursiya-po-istoricheskoj-chasti-goroda-4,Памятник Екатерине II,Казачья история Краснодара,Малая группа 8–18 человек,Собачкина столица,Кубанскому казачеству,Площадь Пушкина,Памятник Репину,Художественный музей,Исторический Краснодар,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1046,Крым: Новый Свет — Феодосия — Мрия,krym-novyj-svet-mriya-2-dnya,2,Amra Turistik,https://amra-turistik.ru/tours/krym-na-lajte-ot-vinnyh-istorij-goliczyna-do-yalty-i-mrii-4,Тропа Голицына,Три бухты Нового Света,Mriya Resort,Новый Свет,Тропа Крыма,Мыс Капчик,Крымский мост,Феодосия,Мрия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1047,Крым: Фестиваль сакуры в Мрие и дворцы ЮБК,krym-mriya-dvorcy-jubk-2-dnya,2,Amra Turistik,https://amra-turistik.ru/tours/krym-pinterest-tur-festival-sakury-v-mrie-i-dvorczy,Фестиваль сакуры в Mriya Resort,Ялта,Шесть чувств,Дворцы ЮБК или Ай-Петри,Массандровский дворец,Ливадийский дворец,Воронцовский дворец,Мрия — Фестиваль сакуры,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1048,"Крым: ЮБК, Новый Херсонес и Севастополь",krym-jubk-novyj-hersones-sevastopol,2,Amra Turistik,https://amra-turistik.ru/tours/krym-na-lajte-ot-vinnyh-istorij-goliczyna-do-yalty-i-mrii-5,Ливадийский дворец — Ялтинская конференция,Ласточкино гнездо,Новый Херсонес,Севастополь,Ай-Тодор,Замок Александра,Площадь Нахимова,Массандровский дворец,Приморский бульвар,Крымский мост,Форосский храм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1049,Крым: большое путешествие на 5 дней,krym-bolshoe-puteshestvie,5,Amra Turistik,https://amra-turistik.ru/tours/volshebnyj-zapadnyj-bereg-kryma-3-h-dnevnyj-33,Севастополь и Ялта,Ай-Петри,Крымский мост,Ласточкино гнездо,Свято-Успенский,Чуфут-Кале,Дворец Александра,Площадь Нахимова,Ливадийский дворец,Воронцовский дворец,Ялтинская набережная,Массандровский дворец,Владимирский собор,Ханский дворец,Успенский монастырь,Оборона Севастополя,Набережная Приморского,Бахчисарайский фонтан,Балаклава,Набережная Ялты,Южный берег Крыма,Никитский сад,,,,,,,,,,,,,,,,,,,
да ,1050,"Кубанская лоза: Лефкадия, винодельня «Мысхако» и вечер в Абрау",kubanskaya-loza-lefkadiya-myshako-abrau,1,Amra Turistik,https://amra-turistik.ru/tours/romantika-i-vino-lefkadiya-staryj-park-shato-pino-4,Абрау-Дюрсо,Краснодарский край,Лефкадия — Мысхако,Вечер на озере Абрау,Мысхако,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1051,Лефкадия — Старый Парк — Шато-Пино,lefkadiya-staryj-park-shato-pino,1,Amra Turistik,https://amra-turistik.ru/tours/romantika-i-vino-lefkadiya-staryj-park-shato-pino-3/,Геленджик,Абрау-Дюрсо,Долина Лефкадия,Старый Парк в Кабардинке,Шато-Пино,Горы Колдун,Ухоженный парк,Лефкадия — Старый Парк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1052,"Лучшая весна в Грузии и Армении: 7 дней, две страны",gruziya-i-armeniya-7-dnej,7,Amra Turistik,https://amra-turistik.ru/tours/luchshaya-vesna-v-gruzii-i-armenii,Грузия,Армения,Военно-Грузинская дорога — Тбилиси,Кахетия,Хор Вирап — Арарат на ладони,Нораванк среди красных скал,Монастырь Гегард,Озеро Севан — «армянское море»,Киндзмараули,Военно-Грузинская,Замок Ананури,Мост Мира,Монастырь Бодбе,Монастырь Санаин,Монастырь Севанаванк,Пещера Арени,Храм Гарни,Верхний Ларс,Храм Метехи,Площадь Европы,Парк Рико,Крепость Нарикала,Проспект Руставели,Святой Нино,Пещера Птиц,Площадь Республики,Языческий храм,Лучшая весна в Грузии,Вернисаж — Гарни,Ереван — Джвари,,,,,,,,,,,
да ,1053,"Маршрут ВелоSea: Голубая бухта, смотровые и Геленджик",velosea-golubaya-buhta-gelendzhik,1,Amra Turistik,https://amra-turistik.ru/tours/zahvatyvayushhij-marshrut-velosea-i-gelendzhik-8,Геленджик,Смотровая «Одинокая скамейка» над морем,Лестница 287 ступеней к воде,Сосновый лес над бирюзовой бухтой,Скала Утюг,Голубая бухта,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да,1054,Мезмай: Орлиная полка и Верхнекурджипское ущелье,mezmaj-orlinaya-polka-verhnekurdzhipskoe,1,Amra Turistik,https://amra-turistik.ru/tours/lyubimyj-mezmaj-orlinaya-polka-verhnekurdzhipskoe-ushhele-32,Адыгея,Орлиная полка,Заколдованный лес,Биосферный заповедник ЮНЕСКО,Сосна,Водопад Шестиметровка,Пещера Исиченко,Верхнекурджипское ущелье,Водопады Верхнекурджипского,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да,1055,"Мезмай: Орлиная полка, Гуамское ущелье и термальные источники",mezmaj-orlinaya-polka-guamskoe-termy,1,Amra Turistik,https://amra-turistik.ru/tours/lyubimyj-mezmaj-orlinaya-polka-guamskoe-ushhele-ot-mezmaya-do-guamki-i-termy-8,Краснодарский край,Орлиная полка — Гуамское ущелье,Гуамское ущелье,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да,1056,"Морской вояж: Голубая бездна, скала Парус, Геленджик",morskoj-voyazh-golubaya-bezdna-parus-gelendzhik,1,Amra Turistik,https://amra-turistik.ru/tours/morskoj-voyazh-golubaya-bezdna-skala-parus-gelendzhik-12,Краснодарский край,Голубая бездна,Скала Парус,Геленджик,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
